Sites	Kinases	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10
SRRM2_Q8BTI8_T1370	CDK1	5.651554489790665	0.6742644872750506	0.1582571018454008	2.8895552813974033	6.801996674060759	0.662623967192254	6.031936294714238	7.278349055783254	5.447575975258485	8.497339671567115
ADD1_Q9QYC0_S613	CDK2	1.383936604790871	9.617882377018095	8.47005594895829	8.949904643006619	7.711146504490661	8.69183430167484	1.3875928284169412	9.522991641394889	1.0810997883543685	5.210117684998897
IBTK_Q6ZPR6_S991	RAPAMYCIN	0.31031736221214423	7.3802078192372305	4.755973506781814	0.28596660254639855	3.3889306547854603	7.697299196140295	9.231952231184069	8.445834856733834	9.794246004624599	2.6614206656738735
SPTBN1_Q62261_T2158	CSNK2A1	0.102348135154932	0.10000000000252843	1.7444819410980579	0.10000000001510148	0.1	0.1	0.1	0.10000000000216802	0.10000000000217216	1.220437478241846
SPTBN1_Q62261_T2158	PRKACA	9.280997549587493	3.275109826423896	9.54476942896986	2.7117059740649734	2.802968620600934	1.1463266684219724	6.100640955004013	2.8997457344127064	3.6934551853959103	9.908950439904851
CDKN1B_P46414_S178	MAPK1	3.295299625617923	8.24917916338809	1.1030291548980933	6.352803037379609	4.9295592773920065	8.132909265026175	8.865538889394063	3.9466814413211853	2.693266248396965	1.8536468436911575
TBC1D10B_Q8BHL3_S643	MTOR	0.18138931566828692	2.169216957963584	6.746340215356321	9.193196785327281	2.5378191962728875	7.460234645038157	5.510298840444954	7.7703714141549645	2.0207947764206415	7.569817740001104
POLR2A_P08775_T1915	CDK2	0.6192562595799058	0.2849816993766614	4.565891997363361	6.670141364887515	1.8626037430815239	2.50095532378537	3.251364051222051	8.380792512814951	1.516179952667901	6.401932061894751
SRPK1_O70551_S309	SRPK1	0.4994943515251511	4.943155603748834	3.1487678187553785	9.429543032697968	8.839148471651168	9.987814352397683	0.142949559381166	4.08299866873599	1.0898345293686231	9.7736288671779
MECP2_Q9Z2D6_S80	HIPK2	6.218457404979497	0.5058431051762846	8.557642570597704	1.2080134536523122	9.862877772902221	2.332236463682848	7.444644857675592	3.6546117320239087	8.91250685844442	4.949812591564791
